FEATTYPE,SCALE,FACAFF,elevation,aspect,slope,landuse,Period,Years_befo,Main_Rock_,NDVI,distance,total_curv,plan_curv,prof_curv,Label
Soil Cut,0,Road,344,348.566,13.7885,72,Jurassic,145-199,Granitic Rocks,0.218132,150.1092966,0.540587,0.482228,-0.0583588,1
Soil Cut,3,Squatter,41,137.862,2.19162,3,Jurassic,145-199,Granitic Rocks,0.302131,651.0727597,-0.135147,-0.0905466,0.0446001,1
Natural Hillside,10,Minor footpath,179,3.19954,12.293,71,Jurassic,145-199,Granitic Rocks,0.358405,689.3344402,0.110575,0.183203,0.0726281,1
Soil Cut,1,"Vacated
2-storey village house",15,181.273,3.48077,3,Jurassic,145-199,Tuff and Lava,0.175408,456.4628795,0.0860024,0.0690039,-0.0169985,1
Soil Cut,7,Open area,52,312.039,6.33345,71,Jurassic,145-199,Granitic Rocks,0.254742,444.193798,0.0860024,0.0690039,-0.0169985,1
Soil Cut,5,Squatter,52,312.039,6.33345,71,Jurassic,145-199,Granitic Rocks,0.283292,466.0443367,-0.159719,-0.0319184,0.1278,1
Retaining Wall (Masonry),7,Open area,12,307.694,4.2973,71,Jurassic,145-199,Granitic Rocks,0.24077,494.4449202,-0.34401,-0.0784279,0.265582,1
Natural Hillside,40,WSD access road,173,166.035,14.745,41,Jurassic,145-199,Granitic Rocks,0.345241,15.51425618,-0.294865,-0.147185,0.14768,1
Natural Hillside,5,Open area,71,18.5617,21.1221,3,Jurassic,145-199,Granitic Rocks,0.214864,447.6205399,0.258007,0.11997,-0.138037,1
Natural Hillside,15,Open area,53,114.8,12.1806,71,Jurassic,145-199,Granitic Rocks,0.28069,147.2557905,-0.0737164,-0.0135803,0.0601361,1
Natural Hillside,15,Open area,32,341.828,10.5543,72,Jurassic,145-199,Granitic Rocks,0.263275,178.2978652,-0.442298,-0.159792,0.282506,1
Natural Hillside,7,Open area,110,129.463,20.6229,72,Jurassic,145-199,Granitic Rocks,0.349397,732.762148,-0.221149,-0.106655,0.114494,1
Natural Hillside,40,Minor footpath,116,316.992,12.4025,71,Jurassic,145-199,Granitic Rocks,0.267508,296.4182981,-0.565159,-0.288357,0.276801,1
Natural Hillside,30,"Road, Pedestrian pavement",57,109.39,14.3828,72,Jurassic,145-199,Granitic Rocks,0.204733,17.05667243,-0.184291,-0.0834765,0.100814,1
Natural Hillside,45,"Road, squatters",103,116.159,23.0775,72,Jurassic,145-199,Granitic Rocks,0.376384,684.2462921,-0.0122861,-0.00608867,0.00619739,1
Soil Cut,8,Road,327,301.544,17.7603,71,Jurassic,145-199,Granitic Rocks,0.250726,103.9701365,0.0860024,0.0436191,-0.0423833,1
Natural Hillside,780,"Squatters, active construction site, roads",159,283.748,30.3574,72,Jurassic,145-199,Granitic Rocks,0.134606,29.44889751,-0.0737164,0.0322749,0.105991,1
Soil/Rock Cut,0.3,Open area,38,275.631,5.50693,73,Jurassic,145-199,Granitic Rocks,0.125458,352.7536577,0.565159,0.337415,-0.227744,1
Natural Hillside,8000,Landfill site internal access road,82,284.569,17.5859,72,Jurassic,145-199,Tuff and Lava,0.269119,41.99004741,0,0.0643327,0.0643327,1
Natural Hillside,2,Access road,56,110.225,7.79049,3,Jurassic,145-199,Granitic Rocks,0.232219,0.659284471,0.0491442,0.0215006,-0.0276436,1
Retaining Wall (Masonry),0.5,Squatter,25,290.41,7.06864,3,Jurassic,145-199,Granitic Rocks,0.151289,46.50061836,-0.761736,-0.263536,0.4982,1
Retaining Wall (Masonry),2,Squatter,32,300.6,8.30697,3,Jurassic,145-199,Granitic Rocks,0.250437,13.78808283,0.258007,-0.0796093,-0.337617,1
Fill Slope,6,Squatters,34,106.44,9.75341,73,Jurassic,145-199,Tuff and Lava,0.328289,34.6115816,0.0491442,0.0691547,0.0200105,1
Rock Cut,0.2,Open area,74,238.815,6.84559,32,Jurassic,145-199,Granodiorite,0.246321,65.95552594,0.454584,0.397031,-0.0575529,1
Soil Cut,5,Squatters,3,71.565,4.15506,23,Jurassic,145-199,Granitic Rocks,0.29936,12.95881418,-0.896882,-0.220067,0.676815,1
Retaining Wall (Masonry),2,Footbridge,53,229.297,18.3431,71,Jurassic,145-199,Granodiorite,0.229685,20.27718006,0.319438,0.180708,-0.138729,1
Soil Cut,17.5,Minor footpath,41,94.1849,15.5236,3,Jurassic,145-199,Tuff and Lava,0.315267,13.22368886,-0.675733,-0.356296,0.319438,1
Soil Cut,3,Road,321,321.961,18.3223,71,Jurassic,145-199,Granodiorite,0.284021,167.6518435,0.110575,0.01709,-0.0934845,1
Soil Cut,2,Road,325,183.059,10.0529,41,Jurassic,145-199,Tuff and Lava,0.315893,12.80783112,0.417726,0.376532,-0.0411944,1
Soil Cut,3,Road,325,183.059,10.0529,71,Jurassic,145-199,Tuff and Lava,0.36859,129.4411476,0.40544,0.269791,-0.135649,1
Retaining Wall,35,"Roads, construction site",47,342.518,19.7921,73,Jurassic,145-199,Tuff and Lava,0.0718335,12.58054575,-0.761736,-0.122717,0.639019,1
Retaining Wall (Reinforced Concrete),2,Access road,40,296.565,4.83616,72,Devonian,359-416,"Quartz sandstone, siltstone with conglomerate",0.300705,831.3176954,0.0368582,0.0013557,-0.0355025,1
Natural Hillside,20,Access road,33,318.468,3.61526,72,Devonian,359-416,"Quartz sandstone, siltstone with conglomerate",0.310785,380.1808619,0.712591,0.439231,-0.27336,1
Soil Cut,0.3,Access road,68,47.8624,20.9417,71,Cretaceous,65-145,Tuff and Lava,0.289741,420.205972,0.294865,0.121088,-0.173777,1
Soil/Rock Cut,0.3,Nil,87,81.3844,10.227,71,Cretaceous,65-145,Tuff and Lava,0.171252,3.650432683,-0.491442,-0.325661,0.165781,1
Fill Slope,0.05,Pedestrian pavement,83,198.435,4.15506,2,Cretaceous,65-145,Granitic Rocks,0.118991,106.6749845,-0.0245721,0.00578168,0.0303538,1
Soil Cut,0.2,Catchwater,117,207.567,22.521,71,Cretaceous,65-145,Granitic Rocks,0.322898,44.04529863,-0.0491442,-0.0215006,0.0276436,1
Natural Hillside,0.3,Minor footpath,378,331.584,32.4605,71,Cretaceous,65-145,Tuff and Lava,0.138719,934.1166839,-0.270293,-0.0409844,0.229309,1
Soil Cut,1.5,Catchwater,180,356.315,21.7755,71,Cretaceous,65-145,Granitic Rocks,0.289439,934.1166839,-0.270293,-0.0409844,0.229309,1
Soil Cut,0.6,Building,39,240.173,13.1515,71,Cretaceous,65-145,Tuff and Lava,0.289509,85.60707719,-0.221149,-0.0287135,0.192436,1
Natural Hillside,0.42,Building,96,152.199,9.53922,71,Cretaceous,65-145,Granitic Rocks,0.364561,4.358197967,-0.233435,-0.163577,0.0698582,1
Soil Cut,0.4,Road,111,356.987,14.4191,71,Cretaceous,65-145,Tuff and Lava,0.195225,170.7476162,-0.221149,-0.0305899,0.190559,1
Soil Cut,16,Minor footpath,57,94.6669,7.56873,71,Cretaceous,65-145,Tuff and Lava,0.338789,523.4745962,-0.430012,-0.224387,0.205625,1
Retaining Wall (Masonry),3.3,Registered squatter dwelling,163,2.6488,20.8136,71,Cretaceous,65-145,Tuff and Lava,0.258655,380.081245,-0.0368582,-0.0840125,-0.0471543,1
Rock Cut,0.16,Pedestrian pavement,139,350.628,22.9389,1,Cretaceous,65-145,Granitic Rocks,0.050697,1680.71787,0.196577,0.196455,-0.000121644,1
Retaining Wall (Masonry),0.8,Minor footpath,72,311.309,10.0986,61,Cretaceous,65-145,Granitic Rocks,0.150025,1573.024576,0.0491442,-0.129063,-0.178207,1
Soil Cut,2,Registered squatter dwelling,223,97.0578,8.13673,71,Cretaceous,65-145,Tuff and Lava,0.268268,747.4709212,-0.454584,-0.121256,0.333328,1
Fill Slope,5,Road,94,286.783,19.58,71,Cretaceous,65-145,Granitic Rocks,0.291998,512.7802555,-0.172005,0.0353128,0.207318,1
Natural Hillside,20,Road,103,199.242,16.8798,71,Cretaceous,65-145,Tuff and Lava,0.38265,97.57370242,-0.0491442,0.00775888,0.0569031,1
Soil Cut,6.3,Building,217,132.184,6.65732,3,Cretaceous,65-145,Granitic Rocks,0.18592,1877.528448,0.0737164,0.12912,0.0554032,1
Soil Cut,8,Pedestrian pavement,37,75.0686,4.79671,31,Cretaceous,65-145,Granitic Rocks,0.0933493,54.13320633,-0.196577,-0.148655,0.0479218,1
Soil Cut,10,"Building; 
access road",111,306.941,12.304,1,Cretaceous,65-145,Tuff and Lava,0.151161,180.960057,-0.430012,-0.00593022,0.424082,1
Soil Cut,8,Pedestrian pavement,23,142.431,2.53812,71,Cretaceous,65-145,Tuff and Lava,0.285216,278.3050026,-0.442298,-0.133521,0.308778,1
Natural Hillside,0.12,Pedestrian pavement,263,66.3929,30.8491,71,Cretaceous,65-145,Granitic Rocks,0.266325,554.3696427,0.282579,0.190668,-0.091911,1
Soil Cut,1.4,Road,304,26.3557,26.3892,41,Cretaceous,65-145,Granitic Rocks,0.248759,72.81404297,-0.946027,-0.451346,0.494681,1
Rock Cut,3.14,Road,374,161.737,29.6491,72,Cretaceous,65-145,Tuff and Lava,0.367736,5.08098237,-0.270293,-0.471741,-0.201447,1
Rock Cut,0.25,Road,97,261.98,21.6594,71,Cretaceous,65-145,Tuff and Lava,0.151677,365.2639699,0.270293,0.153198,-0.117096,1
Soil Cut,0.16,Minor footpath,362,2.93567,11.9195,72,Cretaceous,65-145,Tuff and Lava,0.273015,698.565679,-0.0982885,-0.0534444,0.0448441,1
Soil Cut,9.5,Registered squatter dwelling,208,130.684,5.8,71,Cretaceous,65-145,Tuff and Lava,0.209325,20.78464366,-0.712591,-0.355715,0.356877,1
Soil Cut,0.04,Road,154,8.43486,19.7629,41,Cretaceous,65-145,Tuff and Lava,0.181489,361.0959106,0.270293,0.153198,-0.117096,1
Soil Cut,0.4,Road,126,14.8455,13.0654,71,Cretaceous,65-145,Tuff and Lava,0.2024,2344.395588,-0.294865,-0.157516,0.13735,1
Soil Cut,16,Catchwater,133,142.624,13.7595,71,Cretaceous,65-145,Granitic Rocks,0.337457,52.08089371,-0.0982885,-0.0559016,0.0423869,1
Soil/Rock Cut,16,Catchwater,124,162.784,21.8896,72,Cretaceous,65-145,Tuff and Lava,0.343308,688.2401157,0.0491442,-0.118032,-0.167176,1
Soil/Rock Cut,3,Access road,128,130.4,9.46992,71,Cretaceous,65-145,Tuff and Lava,0.406334,6.133085609,-0.307151,-0.111354,0.195797,1
Retaining Wall,0.13,Building,41,111.857,14.4515,3,Cretaceous,65-145,Tuff and Lava,0.230973,8.778727631,-0.135147,0.0320414,0.167188,1
Soil Cut,2,Pedestrian pavement,154,314.519,12.8128,71,Cretaceous,65-145,Tuff and Lava,0.241929,181.103226,-0.0982885,0.11719,0.215479,1
Soil Cut,0.42,Nil,170,147.137,10.3036,71,Cretaceous,65-145,Tuff and Lava,0.306077,19.21674929,-0.184291,-0.129392,0.0548989,1
Soil Cut,1,Other (gas governor kiosk),80,261.219,18.5917,72,Cretaceous,65-145,Tuff and Lava,0.250225,141.3780989,-0.847738,-0.0137157,0.834022,1
Retaining Wall,4,Registered squatter dwelling,198,90,2.63066,3,Cretaceous,65-145,Granitic Rocks,0.288701,386.6183626,-0.0122861,-0.0309676,-0.0186815,1
Soil Cut,4.4,Minor footpath,196,309.946,15.7499,71,Cretaceous,65-145,Tuff and Lava,0.317848,2146.752883,0.552873,0.352402,-0.200471,1
Soil Cut,11.8,Minor footpath,47,23.4986,22.1316,61,Cretaceous,65-145,Tuff and Lava,0.244152,45.15144493,0.135147,-0.0640334,-0.19918,1
Rock Cut,4,Road,47,202.38,1.42318,71,Cretaceous,65-145,Granitic Rocks,0.0276215,736.6262579,-0.122861,-0.0972787,0.0255819,1
Fill Slope,2,Access road,15,28.9092,11.6873,71,Cretaceous,65-145,Tuff and Lava,0.151019,1944.850392,-0.651161,-0.226001,0.42516,1
Natural Hillside,0.63,Building,52,79.9025,11.332,71,Cretaceous,65-145,Tuff and Lava,0.347389,2106.38214,-0.0245721,-0.0623754,-0.0378033,1
Rock Cut,2,Road,107,232.753,22.3338,72,Cretaceous,65-145,Tuff and Lava,0.321871,59.34220341,-0.270293,-0.243355,0.0269387,1
Natural Hillside,1,Road,163,79.0114,15.8322,41,Cretaceous,65-145,Tuff and Lava,0.335587,55.11629955,-0.0737164,-0.0885351,-0.0148188,1
Rock Cut,2.5,Access road,28,47.8271,8.81004,71,Cretaceous,65-145,Granitic Rocks,0.138354,2.39516693,-0.294865,-0.226548,0.0683178,1
Soil/Rock Cut,0.01,Road,276,323,19.648,71,Cretaceous,65-145,Tuff and Lava,0.2118,31.19918973,0.0122861,0.0787304,0.0664443,1
Rock Cut,0.1,Road,104,275.042,20.2538,72,Cretaceous,65-145,Granitic Rocks,0.273565,8.882299444,-0.491442,-0.182649,0.308793,1
Retaining Wall (Masonry),0.1,Minor footpath,33,20.0952,13.2782,71,Cretaceous,65-145,Granitic Rocks,0.338184,805.7432237,-0.454584,-0.121256,0.333328,1
Natural Hillside,283,"Road; 
access road",359,126.235,23.6989,71,Cretaceous,65-145,Tuff and Lava,0.384173,3.400374888,-0.0860024,-0.141222,-0.0552199,1
Fill Slope,21,Minor footpath; open area,95,280.442,24.4574,71,Cretaceous,65-145,Tuff and Lava,0.208312,162.9559631,0.196577,0.0647963,-0.131781,1
Soil/Rock Cut,3,Minor footpath,94,22.4259,20.2239,71,Cretaceous,65-145,Tuff and Lava,0.309772,213.7194882,-0.0614303,-0.00434905,0.0570813,1
Soil/Rock Cut,1.466,Access road; construction site,385,342.667,23.9656,71,Cretaceous,65-145,Tuff and Lava,0.173616,328.9451537,-0.319438,-0.274489,0.044949,1
Fill Slope,6,Pedestrian pavement,38,201.435,11.0887,41,Cretaceous,65-145,Granitic Rocks,0.182532,169.7709632,-0.0860024,0.0452383,0.131241,1
Retaining Wall (Masonry),2,Registered squatter dwelling,36,212.905,9.32346,3,Cretaceous,65-145,Tuff and Lava,0.250971,86.54422121,-0.46687,-0.025337,0.441533,1
Soil/Rock Cut,18,Road,279,20.556,17.9153,41,Cretaceous,65-145,Tuff and Lava,0.202888,58.98465904,-0.135147,-0.0593596,0.075787,1
Rock Cut,0.2,Minor footpath,35,45.4213,14.5697,1,Cretaceous,65-145,Granitic Rocks,0.0238795,160.2758655,-0.46687,-0.261079,0.205792,1
Rock Cut,0.02,Road,102,277.199,14.5096,72,Cretaceous,65-145,Tuff and Lava,0.292087,617.4279024,-0.294865,0.00302915,0.297895,1
Soil Cut,1,Pedestrian pavement,31,133.452,5.38793,71,Cretaceous,65-145,Tuff and Lava,0.250033,1030.564532,-0.184291,-0.0520474,0.132244,1
Soil Cut,3,Nil,26,167.504,14.3629,73,Cretaceous,65-145,Tuff and Lava,0.294187,57.2716202,0.81088,0.420575,-0.390305,1
Soil Cut,2,Building,57,15.2551,3.52674,71,Cretaceous,65-145,Granitic Rocks,0.240549,3.755116877,0.0614303,0.199497,0.138067,1
Rock Cut,0.05,Road,301,194.882,38.6528,41,Cretaceous,65-145,Granitic Rocks,0.332234,4.48091965,-0.110575,-0.0206776,0.0898969,1
Fill Slope,8,Access road,113,307.504,12.3934,71,Cretaceous,65-145,Tuff and Lava,0.188061,59.32067051,-0.135147,-0.0593596,0.075787,1
Soil Cut,1.5,Road,252,184.741,15.5348,1,Cretaceous,65-145,Tuff and Lava,0.242082,4.594842701,0.0614303,0.199497,0.138067,1
Soil Cut,2.4,Open area,140,51.953,21.5381,71,Cretaceous,65-145,Granitic Rocks,0.257307,116.6213547,-0.0860024,0.0361067,0.122109,1
Natural Hillside,0.2,Other (playground of Salesian School),65,18.7334,18.1697,71,Cretaceous,65-145,Granitic Rocks,0.196017,92.12640324,-0.46687,-0.261079,0.205792,1
Soil Cut,0.44,Access road,276,335.095,14.0526,71,Cretaceous,65-145,Tuff and Lava,0.183434,68.98856385,0.356296,0.21686,-0.139436,1
Natural Hillside,3.534,Road,385,142.125,24.0763,71,Cretaceous,65-145,Tuff and Lava,0.404662,218.7225996,-0.0368582,0.101348,0.138207,1
Rock Cut,0.5,Pedestrian pavement,121,235.305,13.2264,71,Cretaceous,65-145,Tuff and Lava,0.194033,17.42922091,0.356296,0.252432,-0.103864,1
Rock Cut,0.424,Access road,403,167.276,4.90927,71,Cretaceous,65-145,Tuff and Lava,0.276469,780.3905405,-0.0368582,0.0889755,0.125834,1
Natural Hillside,1.4,Nil,73,58.69,8.72256,71,Cretaceous,65-145,Granitic Rocks,0.338184,251.425019,0.46687,0.443876,-0.0229938,1
Natural Hillside,22,Minor footpath,94,166.875,14.9924,71,Cretaceous,65-145,Granitic Rocks,0.277374,272.9315802,0.196577,0.237457,0.0408805,1
Natural Hillside,0.6,Road,233,199.29,27.2676,41,Cretaceous,65-145,Granitic Rocks,0.330723,80.3776458,-0.0737164,-0.223174,-0.149458,1
Fill Slope,80,Open area,75,56.441,9.30171,71,Cretaceous,65-145,Tuff and Lava,0.379159,129.1035628,-0.0245721,0.0106783,0.0352504,1
Soil Cut,1,Pedestrian pavement,161,271.065,19.9801,71,Cretaceous,65-145,Granitic Rocks,0.188815,0.478798766,0.0982885,0.0559807,-0.0423078,1
Natural Hillside,3.6,Road,383,347.421,26.6843,41,Cretaceous,65-145,Tuff and Lava,0.191489,86.54007295,1.24089,0.345899,-0.894993,1
Natural Hillside,4,Road,466,342.181,13.4126,71,Cretaceous,65-145,Tuff and Lava,0.14157,71.51847828,0.135147,0.0830139,-0.0521327,1
Soil Cut,3,Road,279,20.556,17.9153,41,Cretaceous,65-145,Tuff and Lava,0.19683,39.00310732,0.258007,0.0469279,-0.211079,1
Rock Cut,0.08,Open area,29,155.556,11.0862,1,Cretaceous,65-145,Granitic Rocks,0.207514,75.84115104,0.40544,0.069305,-0.336135,1
Natural Hillside,0.5,Open area,22,69.7751,10.8431,41,Cretaceous,65-145,Granitic Rocks,0.142196,103.715272,-0.761736,-0.320238,0.441498,1
Soil Cut,2.827,Access road,349,334.162,27.6549,41,Cretaceous,65-145,Tuff and Lava,0.202107,48.96804524,0.0491442,-0.0491413,-0.0982856,1
Soil Cut,1,Open area,27,97.781,12.385,71,Cretaceous,65-145,Tuff and Lava,0.342546,27.19939906,0.479156,0.331993,-0.147163,1
Retaining Wall (Masonry),0.75,Open area,25,264.251,11.4404,1,Cretaceous,65-145,Tuff and Lava,0.205168,6.06913178,-1.0566,-0.767442,0.289159,1
Soil Cut,3.272,Road,139,13.9678,15.3404,1,Cretaceous,65-145,Granitic Rocks,0.0986543,5.284742304,-0.479156,-0.247049,0.232108,1
Natural Hillside,130,Open area,15,303.275,10.7387,71,Cretaceous,65-145,Granitic Rocks,0.106531,40.72983357,-0.442298,-0.365884,0.0764142,1
Natural Hillside,0.15,Minor footpath,38,291.425,6.54221,71,Cretaceous,65-145,Tuff and Lava,0.243564,41.25635618,0.700305,0.454051,-0.246255,1
Rock Cut,0.02,Road,160,0,7.54392,72,Cretaceous,65-145,Tuff and Lava,0.240929,17.19417549,-0.34401,-0.197688,0.146321,1
Rock Cut,7,Pedestrian pavement,31,198.973,18.4645,41,Cretaceous,65-145,Granitic Rocks,0.292884,85.69302659,-0.503728,0.0660043,0.569733,1
Soil Cut,0.01,Minor footpath,74,14.3354,14.0934,41,Cretaceous,65-145,Granitic Rocks,0.0396391,64.86110727,-0.761736,-0.137679,0.624057,1
Rock Cut,0.25,Road,314,61.6992,33.3622,71,Cretaceous,65-145,Granitic Rocks,0.265346,61.8231732,-0.0614303,0.0913125,0.152743,1
Soil/Rock Cut,0.2,Road,247,198.989,31.7496,71,Cretaceous,65-145,Tuff and Lava,0.340608,11.69281135,-0.565159,-0.311208,0.253951,1
Soil/Rock Cut,0.377,Access road,321,351.068,30.9859,71,Cretaceous,65-145,Tuff and Lava,0.158827,2100.037837,-0.208863,-0.0321534,0.17671,1
Natural Hillside,2,Minor footpath,165,25.1531,18.951,71,Cretaceous,65-145,Granitic Rocks,0.296218,2142.873093,-0.688019,-0.370548,0.317472,1
Soil Cut,0.2,Road,145,329.216,23.9212,71,Cretaceous,65-145,Tuff and Lava,0.195225,177.9412134,0.0614303,-0.0572386,-0.118669,1
Soil Cut,0.1,Road,219,26.0211,20.9049,71,Cretaceous,65-145,Tuff and Lava,0.213203,188.9620142,-0.430012,0.0800919,0.510104,1
Soil Cut,10,Road,15,43.7078,7.24461,72,Cretaceous,65-145,Tuff and Lava,0.232129,13.88252097,-0.159719,-0.0186748,0.141044,1
Soil/Rock Cut,0.1,Road,155,281.222,19.1459,71,Cretaceous,65-145,Granitic Rocks,0.175103,18.40143731,-0.159719,-0.0186748,0.141044,1
Natural Hillside,0.25,Road,138,149.036,14.1521,71,Cretaceous,65-145,Granitic Rocks,0.369936,35.49854857,-0.393154,-0.316222,0.0769324,1
Soil Cut,0.045,Road,130,293.199,17.1579,71,Cretaceous,65-145,Tuff and Lava,0.212196,20.54900732,-0.110575,-0.0206776,0.0898969,1
Fill Slope,28,Minor footpath,389,125.162,18.5494,71,Cretaceous,65-145,Tuff and Lava,0.281196,18.8403769,-0.110575,-0.0206776,0.0898969,1
Rock Cut,1,Road,396,221.248,30.2908,41,Cretaceous,65-145,Tuff and Lava,0.344454,85.20295676,-0.34401,-0.0434672,0.300542,1
Natural Hillside,4,Other (perimeter fencing),24,115.71,9.20096,72,Cretaceous,65-145,Granitic Rocks,0.337553,69.63150203,0.282579,0.121726,-0.160854,1
Rock Cut,0.005,Pedestrian pavement,47,202.38,1.42318,71,Cretaceous,65-145,Granitic Rocks,0.149242,285.0228674,0.184291,0.402915,0.218625,1
Natural Hillside,3,Road,259,3.88138,24.6628,71,Cretaceous,65-145,Tuff and Lava,0.151515,15.21715185,-0.258007,-0.10566,0.152347,1
Soil/Rock Cut,0.06,Access road,95,67.4794,19.7926,71,Cretaceous,65-145,Tuff and Lava,0.286328,178.105873,-0.270293,-0.0160525,0.254241,1
Soil/Rock Cut,1,Access road,84,169.544,17.7541,73,Cretaceous,65-145,Tuff and Lava,0.386212,317.8053814,0.589731,0.263492,-0.326239,1
Rock Cut,0.05,Road,213,295.919,17.8242,71,Cretaceous,65-145,Granitic Rocks,0.219761,54.52888728,-0.159719,-0.104881,0.0548382,1
Soil Cut,0.01,Road,77,79.3652,17.4775,71,Cretaceous,65-145,Tuff and Lava,0.352691,76.63454796,0.208863,0.233722,0.0248592,1
Rock Cut,0.17,Road,40,169.261,9.06519,41,Cretaceous,65-145,Tuff and Lava,0.348501,1298.921805,-0.294865,-0.0493933,0.245472,1
Soil Cut,0.01,Registered squatter dwelling,232,130.553,9.78823,1,Cretaceous,65-145,Tuff and Lava,0.230253,276.3299358,0.430012,0.276289,-0.153723,1
Retaining Wall (Masonry),20,Minor footpath,29,132.397,11.8838,72,Cretaceous,65-145,Tuff and Lava,0.309961,58.50374067,-0.40544,-0.0864261,0.319014,1
Soil/Rock Cut,0.14,Building; open area,118,28.8278,21.701,1,Cretaceous,65-145,Granitic Rocks,0.177762,56.28737794,0.135147,0.119623,-0.0155238,1
Rock Cut,0.3,Open area,161,312.785,19.0942,72,Cretaceous,65-145,Tuff and Lava,0.195394,450.5718876,-0.184291,0.014574,0.198865,1
Natural Hillside,2,Pedestrian pavement,40,75.3236,6.6926,71,Cretaceous,65-145,Granitic Rocks,0.326531,276.7858607,-0.270293,-0.00101587,0.269277,1
Natural Hillside,2.6,Open area,83,183.336,16.7971,71,Cretaceous,65-145,Granitic Rocks,0.300281,81.01284519,0.430012,0.35064,-0.079372,1
Soil Cut,3.5,Road,66,37.7468,11.9649,72,Cretaceous,65-145,Tuff and Lava,0.270084,121.3405469,0.614303,0.102693,-0.51161,1
Natural Hillside,3,Building,35,268.059,17.698,71,Cretaceous,65-145,Granitic Rocks,0.320482,71.31678487,0.0122861,0.308658,0.296372,1
Rock Cut,0.03,Road,117,278.545,14.7747,71,Cretaceous,65-145,Granitic Rocks,0.203484,1595.503617,0.0491442,-0.129063,-0.178207,1
Natural Hillside,0.065,Access road,396,221.248,30.2908,71,Cretaceous,65-145,Tuff and Lava,0.321224,1146.55619,0.110575,0.0300807,-0.0804939,1
Soil Cut,0.73,Pedestrian pavement,117,45.5645,21.2049,71,Cretaceous,65-145,Tuff and Lava,0.283769,339.5397326,0.638875,0.491903,-0.146972,1
Natural Hillside,0.027,Road,400,331.325,25.4517,41,Cretaceous,65-145,Tuff and Lava,0.107419,329.2952603,-0.184291,-0.100508,0.0837825,1
Natural Hillside,0.001,Other (open carpark),161,289.983,12.4861,31,Cretaceous,65-145,Tuff and Lava,0.111307,1185.849599,0.0122861,0,-0.0122861,1
Natural Hillside,0.125,Access road,396,221.248,30.2908,71,Cretaceous,65-145,Tuff and Lava,0.321224,2.293830759,0.147433,0.00946874,-0.137964,1
Soil/Rock Cut,0.02,Pedestrian pavement,83,142.524,11.5486,41,Cretaceous,65-145,Granitic Rocks,0.0881033,91.25211958,0.565159,0.134843,-0.430316,1
Soil Cut,3,Minor footpath,218,320.599,11.082,72,Cretaceous,65-145,Granitic Rocks,0.261972,169.123388,0.0860024,0.124221,0.038219,1
Natural Hillside,0.5,Minor footpath,222,211.727,20.9515,72,Cretaceous,65-145,Tuff and Lava,0.374602,12.45081878,-0.258007,-0.10566,0.152347,1
Soil Cut,0.1,Road,166,44.0978,13.6441,31,Cretaceous,65-145,Granitic Rocks,0.147417,105.4090935,0.331724,0.200002,-0.131722,1
Soil Cut,0.1,Road,287,53.8864,30.7033,41,Cretaceous,65-145,Granitic Rocks,0.282857,197.6435695,0.122861,-0.0299006,-0.152761,1
Natural Hillside,0.1,Access road,396,221.248,30.2908,71,Cretaceous,65-145,Tuff and Lava,0.314134,101.1658875,-0.442298,-0.060816,0.381482,1
Soil/Rock Cut,2,Road,175,19.4185,21.7191,71,Cretaceous,65-145,Granitic Rocks,0.279784,1056.26215,0.0614303,0.00747787,-0.0539524,1
Soil Cut,0.33,Road,231,140.098,27.2995,72,Cretaceous,65-145,Granitic Rocks,0.368732,227.4384591,0.307151,0.175066,-0.132086,1
Natural Hillside,0.1,Road,65,148.023,16.0848,41,Cretaceous,65-145,Tuff and Lava,0.333247,446.1032653,0.0737164,0.121338,0.0476221,1
Soil/Rock Cut,0.31,Pedestrian pavement,70,104.3,4.06818,71,Cretaceous,65-145,Granitic Rocks,0.150259,525.1079137,0.700305,0.251593,-0.448712,1
Natural Hillside,0.18,Pedestrian pavement,253,43.6766,30.0802,71,Cretaceous,65-145,Granitic Rocks,0.233516,599.9276537,0.0245721,0.192204,0.167632,1
Rock Cut,0.4,Open area,24,115.71,9.20096,71,Cretaceous,65-145,Granitic Rocks,0.321326,102.2809092,-0.135147,-0.031274,0.103873,1
Natural Hillside,0.2,Access road,79,106.37,24.2613,71,Cretaceous,65-145,Tuff and Lava,0.396305,1866.3223,-0.221149,-0.0713064,0.149843,1
Natural Hillside,0.002,Road,51,168.752,26.1917,71,Cretaceous,65-145,Tuff and Lava,0.236804,632.510265,0.602017,0.505149,-0.0968681,1
Retaining Wall (Masonry),35,Building,24,146.788,12.6537,3,Cretaceous,65-145,Granitic Rocks,0.200413,2.712313286,0.122861,0.180961,0.0581,1
Soil/Rock Cut,0.2,Road,279,20.556,17.9153,41,Cretaceous,65-145,Tuff and Lava,0.293094,328.8453524,-0.40544,-0.0241729,0.381267,1
Natural Hillside,0.3,Minor footpath,415,345.887,25.9982,41,Cretaceous,65-145,Tuff and Lava,0.186124,179.3689789,-0.0491442,0.118959,0.168103,1
Natural Hillside,5,Building,419,184.785,17.1099,71,Cretaceous,65-145,Tuff and Lava,0.205605,168.8035305,-0.270293,-0.00665169,0.263642,1
Natural Hillside,0.027,Open area,78,233.653,5.08153,71,Cretaceous,65-145,Tuff and Lava,0.415707,54.00234389,0.307151,0.187031,-0.12012,1
